DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2022-01-01 02:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	1052.74	2022-01-01 05:00:54
2022-01-01 03:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	1047.34	2022-01-01 06:00:54
2022-01-01 04:00:00.000	PT60M	10YSI-ELES-----O	CTA	SI CTA	SI	1065.75	2022-01-01 07:00:54
2022-01-01 05:00:00.000	PT60M	10Y1001A1001A39I	CTY	EE CTY	EE	868.4	2022-01-01 07:16:41
2022-01-01 06:00:00.000	PT60M	10Y1001A1001A39I	CTY	EE CTY	EE	874.8	2022-01-01 08:16:20
2022-01-01 07:00:00.000	PT60M	10Y1001A1001A39I	CTY	EE CTY	EE	882.0	2022-01-01 09:16:07
2022-01-01 08:00:00.000	PT60M	10Y1001A1001A39I	CTY	EE CTY	EE	925.4	2022-01-01 10:16:04
2022-01-01 09:00:00.000	PT60M	10Y1001A1001A39I	CTY	EE CTY	EE	978.1	2022-01-01 11:16:12
2022-01-01 10:00:00.000	PT60M	10Y1001A1001A39I	CTY	EE CTY	EE	987.8	2022-01-01 12:16:19
2022-01-01 00:00:00.000	PT60M	10Y1001A1001A39I	CTY	EE CTY	EE	874.3	2022-01-01 02:16:04
2022-01-01 01:00:00.000	PT60M	10Y1001A1001A39I	CTY	EE CTY	EE	860.1	2022-01-01 03:16:03
2022-01-01 02:00:00.000	PT60M	10Y1001A1001A39I	CTY	EE CTY	EE	842.7	2022-01-01 04:16:48
2022-01-01 03:00:00.000	PT60M	10Y1001A1001A39I	CTY	EE CTY	EE	844.7	2022-01-01 05:16:08
2022-01-01 04:00:00.000	PT60M	10Y1001A1001A39I	CTY	EE CTY	EE	852.2	2022-01-01 06:16:11
2022-01-01 10:15:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	4070.57	2022-01-01 11:45:52
2022-01-01 10:30:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	4087.01	2022-01-01 12:01:06
2022-01-01 10:45:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	4138.0	2022-01-01 12:16:13
2022-01-01 04:00:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3664.97	2022-01-01 05:30:51
2022-01-01 04:15:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3655.1	2022-01-01 05:45:49
2022-01-01 04:30:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3659.93	2022-01-01 06:00:59
2022-01-01 04:45:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3663.45	2022-01-01 06:16:06
2022-01-01 05:00:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3709.63	2022-01-01 06:30:53
2022-01-01 05:15:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3720.33	2022-01-01 06:45:50
2022-01-01 05:30:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3732.44	2022-01-01 07:00:57
2022-01-01 05:45:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3740.94	2022-01-01 07:16:32
2022-01-01 06:00:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3767.3	2022-01-01 07:30:54
2022-01-01 06:15:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3728.62	2022-01-01 07:45:51
2022-01-01 06:30:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3746.26	2022-01-01 08:01:03
2022-01-01 06:45:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3760.81	2022-01-01 08:16:07
2022-01-01 07:00:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3798.24	2022-01-01 08:30:56
2022-01-01 07:15:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3813.73	2022-01-01 08:45:52
2022-01-01 07:30:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3814.69	2022-01-01 09:00:59
2022-01-01 07:45:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3819.23	2022-01-01 09:16:03
2022-01-01 08:00:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3811.49	2022-01-01 09:30:56
2022-01-01 08:15:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3850.57	2022-01-01 09:45:55
2022-01-01 08:30:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3874.61	2022-01-01 10:01:10
2022-01-01 08:45:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3885.74	2022-01-01 10:16:00
2022-01-01 09:00:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3938.87	2022-01-01 10:31:05
2022-01-01 09:15:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3984.2	2022-01-01 10:45:51
2022-01-01 09:30:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	4004.6	2022-01-01 11:01:03
2022-01-01 09:45:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	4001.18	2022-01-01 11:16:09
2022-01-01 10:00:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	4055.1	2022-01-01 11:30:58
2022-01-01 01:15:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3950.4	2022-01-01 02:45:49
2022-01-01 01:30:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3882.07	2022-01-01 03:00:56
2022-01-01 01:45:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3824.12	2022-01-01 03:15:59
2022-01-01 02:00:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3769.6	2022-01-01 03:30:50
2022-01-01 02:15:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3732.59	2022-01-01 03:45:50
2022-01-01 02:30:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3707.15	2022-01-01 04:00:52
2022-01-01 02:45:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3677.45	2022-01-01 04:16:42
2022-01-01 03:00:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3664.4	2022-01-01 04:30:52
2022-01-01 03:15:00.000	PT15M	10YHU-MAVIR----U	BZN	HU BZN	HU	3655.62	2022-01-01 04:45:51
